DATE,PR,USER,TITLE,EMPLOYEE
2023-09-29T08:30:10Z,https://github.com/hashicorp/terraform/pull/33959,liamcervante,Skip the interrupt messages when rendering remote logs for tests,Y
2023-09-28T16:05:57Z,https://github.com/hashicorp/terraform/pull/33957,teamterraform,Backport of Increase timeout length after fatal interrupts for test cloud runs into v1.6,Y
2023-09-28T14:46:21Z,https://github.com/hashicorp/terraform/pull/33956,liamcervante,Increase timeout length after fatal interrupts for test cloud runs,Y
2023-09-28T12:05:15Z,https://github.com/hashicorp/terraform/pull/33955,teamterraform,Backport of Implement double cancel instead of force cancel for test cloud runs into v1.6,Y
2023-09-28T11:49:32Z,https://github.com/hashicorp/terraform/pull/33954,teamterraform,Backport of Test files should be marked as skipped if all their run blocks were skipped into v1.6,Y
2023-09-28T10:52:50Z,https://github.com/hashicorp/terraform/pull/33953,liamcervante,Test framework will produce regular updates in -json mode,Y
2023-09-28T10:36:24Z,https://github.com/hashicorp/terraform/pull/33952,radeksimko,Fix typo in the 1.6 changelog,Y
2023-09-28T09:29:11Z,https://github.com/hashicorp/terraform/pull/33951,liamcervante,Implement double cancel instead of force cancel for test cloud runs,Y
2023-09-28T08:34:44Z,https://github.com/hashicorp/terraform/pull/33950,liamcervante,Test files should be marked as skipped if all their run blocks were skipped,Y
2023-09-27T11:14:19Z,https://github.com/hashicorp/terraform/pull/33946,radeksimko,cloud: Fix typo & align `project` field description,Y
2023-09-26T18:58:54Z,https://github.com/hashicorp/terraform/pull/33944,teamterraform,Backport of backend/s3: Supports S3 buckets with Object Lock into v1.6,Y
2023-09-26T07:18:40Z,https://github.com/hashicorp/terraform/pull/33942,teamterraform,Backport of Refactor cloud test run cancellation logic to always intercept signals into v1.6,Y
2023-09-26T05:34:01Z,https://github.com/hashicorp/terraform/pull/33941,ravinitp,Terraform S3 Backend Customisation - DynamoDB Free Option,N
2023-09-25T21:25:42Z,https://github.com/hashicorp/terraform/pull/33940,gdavison,backend/s3: Supports S3 buckets with Object Lock,Y
2023-09-25T11:23:43Z,https://github.com/hashicorp/terraform/pull/33938,teamterraform,Backport of Fix panic when tests on TFC exit early into v1.6,Y
2023-09-25T04:01:39Z,https://github.com/hashicorp/terraform/pull/33937,notone0010,Feature/ks3 backend,N
2023-09-22T20:21:13Z,https://github.com/hashicorp/terraform/pull/33934,yarikoptic,"Codespell: add workflow, config and some typos fixed",N
2023-09-22T20:03:55Z,https://github.com/hashicorp/terraform/pull/33933,teamterraform,Backport of backend/s3: Adds `source_identity` to `assume_role` block into v1.6,Y
2023-09-22T17:20:49Z,https://github.com/hashicorp/terraform/pull/33932,jbardin,Import block expansion with for_each,Y
2023-09-22T15:11:12Z,https://github.com/hashicorp/terraform/pull/33930,liamcervante,Refactor cloud test run cancellation logic to always intercept signals,Y
2023-09-22T13:17:20Z,https://github.com/hashicorp/terraform/pull/33929,liamcervante,Fix panic when tests on TFC exit early,Y
2023-09-22T05:40:21Z,https://github.com/hashicorp/terraform/pull/33928,teamterraform,Backport of [Docs Fix] Add table for run block in testing docs and remove doubled notes into v1.6,Y
2023-09-21T20:44:32Z,https://github.com/hashicorp/terraform/pull/33926,rkoron007,[Docs Fix] Add table for run block in testing docs and remove doubled notes,Y
2023-09-21T17:17:08Z,https://github.com/hashicorp/terraform/pull/33925,radditude,use latest backport-assistant,Y
2023-09-21T16:39:29Z,https://github.com/hashicorp/terraform/pull/33924,kmoe,Backport to v1.6: Fix mock provider ImportState data race ,Y
2023-09-21T16:35:01Z,https://github.com/hashicorp/terraform/pull/33923,teamterraform,Backport of Fix mock provider ImportState data race into v1.6,Y
2023-09-21T09:55:10Z,https://github.com/hashicorp/terraform/pull/33921,kmoe,Fix mock provider ImportState data race,Y
2023-09-20T09:25:15Z,https://github.com/hashicorp/terraform/pull/33917,Naveen161295,User1 commit,N
2023-09-19T18:42:17Z,https://github.com/hashicorp/terraform/pull/33913,teamterraform,Backport of backend/s3: set required or optional for single nested attributes into v1.6,Y
2023-09-19T16:21:30Z,https://github.com/hashicorp/terraform/pull/33912,mrpavan,Update requirements.mdx,N
2023-09-19T12:56:54Z,https://github.com/hashicorp/terraform/pull/33909,teamterraform,Backport of import blocks are evaluated in the root module into v1.6,Y
2023-09-18T22:40:06Z,https://github.com/hashicorp/terraform/pull/33906,gdavison,Backport of backend/s3: Add wrong bucket region handling to all of S3 client into v1.6,Y
2023-09-15T19:02:33Z,https://github.com/hashicorp/terraform/pull/33902,jar-b,configschema: CoerceValue error for omitted attribute requirements,Y
2023-09-15T18:00:59Z,https://github.com/hashicorp/terraform/pull/33901,jar-b,backend/s3: set required or optional for single nested attributes,Y
2023-09-14T19:23:31Z,https://github.com/hashicorp/terraform/pull/33899,gdavison,backend/s3: Adds `source_identity` to `assume_role` block,Y
2023-09-14T16:07:04Z,https://github.com/hashicorp/terraform/pull/33897,jbardin,import blocks are evaluated in the root module,Y
2023-09-14T09:42:24Z,https://github.com/hashicorp/terraform/pull/33895,teamterraform,Backport of Fix typo in login link from test command doc page into v1.6,Y
2023-09-14T07:44:37Z,https://github.com/hashicorp/terraform/pull/33894,teamterraform,Backport of Add additional validation around unknown and null values in test variables into v1.6,Y
2023-09-14T07:01:48Z,https://github.com/hashicorp/terraform/pull/33893,teamterraform,Backport of Implement TFC integration for private module registry test runs into v1.6,Y
2023-09-14T06:49:10Z,https://github.com/hashicorp/terraform/pull/33892,liamcervante,Fix typo in login link from test command doc page,Y
2023-09-14T06:47:57Z,https://github.com/hashicorp/terraform/pull/33891,teamterraform,Backport of Add warning when testing and combining expect_failures with apply operations into v1.6,Y
2023-09-14T06:33:54Z,https://github.com/hashicorp/terraform/pull/33890,teamterraform,Backport of Apply defaults when processing variables for assertions into v1.6,Y
2023-09-14T06:22:35Z,https://github.com/hashicorp/terraform/pull/33889,liamcervante,Manual backport of Add cloud-run documentation for testing framework in v1.6,Y
2023-09-14T06:17:11Z,https://github.com/hashicorp/terraform/pull/33888,teamterraform,Backport of Add cloud-run documentation for testing framework into v1.6,Y
2023-09-13T22:49:46Z,https://github.com/hashicorp/terraform/pull/33886,teamterraform,Backport of backend/s3: Adds `singleNestedAttribute` to internal schema into v1.6,Y
2023-09-13T22:09:42Z,https://github.com/hashicorp/terraform/pull/33885,gdavison,backend/s3: Add wrong bucket region handling to all of S3 client,Y
2023-09-13T17:42:59Z,https://github.com/hashicorp/terraform/pull/33883,teamterraform,Backport of backend/s3: Handles case when bucket is requested from wrong region into v1.6,Y
2023-09-12T23:06:50Z,https://github.com/hashicorp/terraform/pull/33881,gdavison,backend/s3: Handles case when bucket is requested from wrong region,Y
2023-09-12T16:37:13Z,https://github.com/hashicorp/terraform/pull/33879,teamterraform,Backport of Improve error message when S3 state checksums don't line up into v1.6,Y
2023-09-12T13:41:03Z,https://github.com/hashicorp/terraform/pull/33877,teamterraform,Backport of backend/s3: prevent keys containing double slashes into v1.6,Y
2023-09-12T09:08:32Z,https://github.com/hashicorp/terraform/pull/33875,liamcervante,Add cloud-run documentation for testing framework,Y
2023-09-12T04:36:17Z,https://github.com/hashicorp/terraform/pull/33873,yashx,Support conditionally auto loading tfvars on workspace,N
2023-09-11T22:22:19Z,https://github.com/hashicorp/terraform/pull/33872,gdavison,backend/s3: Adds `singleNestedAttribute` to internal schema,Y
2023-09-11T21:27:10Z,https://github.com/hashicorp/terraform/pull/33871,crw,Small rewrite of Contrib to better reflect current practices.,Y
2023-09-11T19:13:57Z,https://github.com/hashicorp/terraform/pull/33870,teamterraform,Backport of website: DynamoDB now supports fine-grain IAM policies into v1.6,Y
2023-09-11T18:39:01Z,https://github.com/hashicorp/terraform/pull/33869,jar-b,backend/s3: prevent keys containing double slashes,Y
2023-09-11T16:51:58Z,https://github.com/hashicorp/terraform/pull/33868,liamcervante,Add warning when testing and combining expect_failures with apply operations,Y
2023-09-11T13:23:35Z,https://github.com/hashicorp/terraform/pull/33867,liamcervante,Apply defaults when processing variables for assertions,Y
2023-09-11T11:33:34Z,https://github.com/hashicorp/terraform/pull/33865,teamterraform,Backport of build with Go 1.21.1 into v1.6,Y
2023-09-11T10:20:12Z,https://github.com/hashicorp/terraform/pull/33863,l-with,Gunzipbase64,N
2023-09-11T09:54:01Z,https://github.com/hashicorp/terraform/pull/33861,liamcervante,Add additional validation around unknown and null values in test variables,Y
2023-09-09T10:29:46Z,https://github.com/hashicorp/terraform/pull/33856,joaocc,nonsensitive: no longer produces error when applied to nonsensitive values,N
2023-09-09T06:06:26Z,https://github.com/hashicorp/terraform/pull/33855,teamterraform,Backport of Explicitely disallow duplicate run block names in test files into v1.6,Y
2023-09-09T05:49:13Z,https://github.com/hashicorp/terraform/pull/33854,teamterraform,Backport of Reserve state and plan keywords in test files into v1.6,Y
2023-09-08T22:51:18Z,https://github.com/hashicorp/terraform/pull/33853,teamterraform,Backport of backend/s3: Improves bare error messages from API responses into v1.6,Y
2023-09-08T20:32:58Z,https://github.com/hashicorp/terraform/pull/33852,teamterraform,Backport of backend/s3: Restore HTTP request/response logging into v1.6,Y
2023-09-08T19:37:27Z,https://github.com/hashicorp/terraform/pull/33851,gdavison,backend/s3: Improves bare error messages from API responses,Y
2023-09-08T19:00:40Z,https://github.com/hashicorp/terraform/pull/33850,gdavison,backend/s3: Restore HTTP request/response logging,Y
2023-09-08T17:58:10Z,https://github.com/hashicorp/terraform/pull/33849,teamterraform,Backport of Make the test command fail if resources could not be cleaned up into v1.6,Y
2023-09-08T17:45:21Z,https://github.com/hashicorp/terraform/pull/33848,teamterraform,Backport of Refactor file and run block feedback frequency into v1.6,Y
2023-09-08T08:44:18Z,https://github.com/hashicorp/terraform/pull/33846,liamcervante,Reserve state and plan keywords in test files,Y
2023-09-07T20:47:33Z,https://github.com/hashicorp/terraform/pull/33844,brandonc,cloud: don't update snapshot interval unless response is from tfe.v2,Y
2023-09-07T20:40:02Z,https://github.com/hashicorp/terraform/pull/33843,teamterraform,Backport of backend/s3: Use Transfer Managers to speed up transfers of large state files into v1.6,Y
2023-09-07T19:34:39Z,https://github.com/hashicorp/terraform/pull/33842,gdavison,Adds logging for `aws-sdk-go-base`,Y
2023-09-07T19:29:10Z,https://github.com/hashicorp/terraform/pull/33841,gdavison,backend/s3: Adds tests for endpoint overrides and adds validation for parameters,Y
2023-09-07T19:05:10Z,https://github.com/hashicorp/terraform/pull/33840,liamcervante,Refactor file and run block feedback frequency,Y
2023-09-07T18:42:28Z,https://github.com/hashicorp/terraform/pull/33839,gdavison,backend/s3: Use Transfer Managers to speed up transfers of large state files,Y
2023-09-07T14:50:26Z,https://github.com/hashicorp/terraform/pull/33836,liamcervante,Explicitely disallow duplicate run block names in test files,Y
2023-09-07T14:23:26Z,https://github.com/hashicorp/terraform/pull/33835,teamterraform,Backport of cloud: state snapshots always enabled despite missing header x-terraform-snapshot-interval into v1.6,Y
2023-09-07T14:23:21Z,https://github.com/hashicorp/terraform/pull/33834,teamterraform,Backport of cloud: state snapshots always enabled despite missing header x-terraform-snapshot-interval into v1.5,Y
2023-09-07T14:21:50Z,https://github.com/hashicorp/terraform/pull/33833,teamterraform,Backport of backend/s3: add allowed/forbidden account ID parameters into v1.6,Y
2023-09-07T13:56:44Z,https://github.com/hashicorp/terraform/pull/33832,jbardin,v1.5 backport of 33821,Y
2023-09-07T13:56:01Z,https://github.com/hashicorp/terraform/pull/33831,jbardin,v1.6 backport of 33821,Y
2023-09-07T10:27:12Z,https://github.com/hashicorp/terraform/pull/33830,kmoe,build with Go 1.21.1,Y
2023-09-06T19:48:40Z,https://github.com/hashicorp/terraform/pull/33825,gdavison,backend/s3: Adds logging for `aws-sdk-go-base`,Y
2023-09-06T19:15:53Z,https://github.com/hashicorp/terraform/pull/33824,jbardin,v1.6 backport of #33132,Y
2023-09-06T18:38:12Z,https://github.com/hashicorp/terraform/pull/33823,jbardin,v1.6 backport of #33807,Y
2023-09-06T18:35:00Z,https://github.com/hashicorp/terraform/pull/33822,gdavison,backend/s3: Adds tests for endpoint overrides and adds validation for parameters,Y
2023-09-06T18:22:08Z,https://github.com/hashicorp/terraform/pull/33821,jbardin,re-clarify types documentation,Y
2023-09-06T17:15:36Z,https://github.com/hashicorp/terraform/pull/33820,brandonc,cloud: state snapshots always enabled despite missing header x-terraform-snapshot-interval,Y
2023-09-06T16:28:23Z,https://github.com/hashicorp/terraform/pull/33819,alisdair,statefile: Ignore unknown check results on decode,Y
2023-09-06T16:27:15Z,https://github.com/hashicorp/terraform/pull/33818,alisdair,statefile: Ignore unknown check results on decode,Y
2023-09-06T15:14:20Z,https://github.com/hashicorp/terraform/pull/33816,mesrikanthreddy,Update README.md,N
2023-09-06T14:52:28Z,https://github.com/hashicorp/terraform/pull/33815,alisdair,statefile: Ignore unknown check results on decode,Y
2023-09-06T14:28:14Z,https://github.com/hashicorp/terraform/pull/33814,alisdair,statefile: Ignore unknown check results on decode,Y
2023-09-06T14:27:16Z,https://github.com/hashicorp/terraform/pull/33813,alisdair,statefile: Ignore unknown check results on decode,Y
2023-09-06T14:25:04Z,https://github.com/hashicorp/terraform/pull/33812,alisdair,release: Backport release tools,Y
2023-09-06T10:58:45Z,https://github.com/hashicorp/terraform/pull/33809,liamcervante,Make the test command fail if resources could not be cleaned up,Y
2023-09-05T22:08:13Z,https://github.com/hashicorp/terraform/pull/33807,jbardin,move `GetProviderSchemaOptional` check to correct block,Y
2023-09-05T20:53:29Z,https://github.com/hashicorp/terraform/pull/33805,jar-b,backend/s3: add allowed/forbidden account ID parameters,Y
2023-09-05T19:31:19Z,https://github.com/hashicorp/terraform/pull/33804,jar-b,backend/s3: fix assume_role_with_web_identity env var handling,Y
2023-09-04T09:05:14Z,https://github.com/hashicorp/terraform/pull/33792,koitsu,Update index.mdx,N
2023-09-01T21:52:57Z,https://github.com/hashicorp/terraform/pull/33789,teamterraform,Backport of clarify types and link to Type Constraints pagedit types into v1.5,Y
2023-09-01T14:55:29Z,https://github.com/hashicorp/terraform/pull/33783,teamterraform,Backport of Handle null outputs in Terraform test files into v1.6,Y
2023-09-01T13:59:22Z,https://github.com/hashicorp/terraform/pull/33781,liamcervante,Handle null outputs in Terraform test files,Y
105,10,9.52%,,
2023-08-31T19:44:25Z,https://github.com/hashicorp/terraform/pull/33778,Varriount,Mention shell injection in local provisioner documentation,N
2023-08-31T18:15:28Z,https://github.com/hashicorp/terraform/pull/33777,teamterraform,Backport of Ignore remote version conflict for force-unlock into v1.6,Y
2023-08-31T17:57:42Z,https://github.com/hashicorp/terraform/pull/33776,teamterraform,Backport of backend/s3(docs): expand access control examples into v1.6,Y
2023-08-31T17:38:01Z,https://github.com/hashicorp/terraform/pull/33775,brandonc,cloud: State upload verification and timeout,Y
2023-08-31T08:48:07Z,https://github.com/hashicorp/terraform/pull/33774,kmoe,website: update docs for import block dynamic ids,Y
2023-08-30T20:39:57Z,https://github.com/hashicorp/terraform/pull/33771,jar-b,backend/s3(docs): expand access control examples,Y
2023-08-30T16:46:40Z,https://github.com/hashicorp/terraform/pull/33769,kmoe,v1.5 backport of initwd: require valid module name,Y
2023-08-30T12:58:31Z,https://github.com/hashicorp/terraform/pull/33768,bflad,internal/plugin+internal/plugin6: Fix provider schema caching,Y
2023-08-29T20:10:15Z,https://github.com/hashicorp/terraform/pull/33765,jar-b,backend/s3: Parity with the AWS provider configuration options,Y
2023-08-29T20:00:10Z,https://github.com/hashicorp/terraform/pull/33764,crw,Update CONTRIBUTING.md,Y
2023-08-28T15:16:58Z,https://github.com/hashicorp/terraform/pull/33760,liamcervante,Terraform test directory must be local to the config directory,Y
2023-08-25T19:48:43Z,https://github.com/hashicorp/terraform/pull/33758,jbardin,Update HCL,Y
2023-08-25T11:58:54Z,https://github.com/hashicorp/terraform/pull/33755,liamcervante,Embed the schemas directly in the testing framework JSON verbose outputs,Y
2023-08-25T02:16:47Z,https://github.com/hashicorp/terraform/pull/33749,jar-b,backend/s3: add sts_region argument,Y
2023-08-25T02:13:10Z,https://github.com/hashicorp/terraform/pull/33748,jar-b,backend/s3: add http_proxy and related arguments,Y
2023-08-25T02:05:16Z,https://github.com/hashicorp/terraform/pull/33747,jar-b,backend/s3: add ec2_metadata_service_endpoint argument,Y
2023-08-25T01:59:34Z,https://github.com/hashicorp/terraform/pull/33746,jar-b,backend/s3: add custom_ca_bundle argument,Y
2023-08-25T00:45:21Z,https://github.com/hashicorp/terraform/pull/33745,radditude,initwd: require valid module name,Y
2023-08-24T20:44:44Z,https://github.com/hashicorp/terraform/pull/33744,teamterraform,Backport of Swap update-ironbank and crt-hook-tfc-upload execution order in the CRT pipeline into v1.5,Y
2023-08-24T20:35:28Z,https://github.com/hashicorp/terraform/pull/33743,brandonc,Backport bump go tfe v1.32.1 to v1.5,Y
2023-08-24T18:43:03Z,https://github.com/hashicorp/terraform/pull/33742,bflad,internal/grpcwrap: Ensure GetProviderSchemaOptional server capability is passed through,Y
2023-08-24T17:21:07Z,https://github.com/hashicorp/terraform/pull/33741,kmoe,upgrade go-cty to v1.13.3,Y
2023-08-24T16:38:16Z,https://github.com/hashicorp/terraform/pull/33740,marianoasselborn,Swap update-ironbank and crt-hook-tfc-upload execution order in the CRT pipeline,Y
2023-08-24T15:28:28Z,https://github.com/hashicorp/terraform/pull/33739,bflad,Add GetMetadata RPC to provider protocol,Y
2023-08-24T15:25:45Z,https://github.com/hashicorp/terraform/pull/33738,marianoasselborn,Enable Iron Bank updates,Y
2023-08-24T15:17:24Z,https://github.com/hashicorp/terraform/pull/33737,kmoe,codeowners: core as default owner,Y
2023-08-24T14:50:35Z,https://github.com/hashicorp/terraform/pull/33736,brandonc,cloudplugin: change manifest format to match releases API,Y
2023-08-24T14:47:45Z,https://github.com/hashicorp/terraform/pull/33735,liamcervante,Fix cross build file link from build.yml,Y
2023-08-24T14:42:03Z,https://github.com/hashicorp/terraform/pull/33734,liamcervante,Prepare for the introduction of remote test runs,Y
2023-08-23T22:24:52Z,https://github.com/hashicorp/terraform/pull/33731,teamterraform,Backport of Update debugging.mdx to capitalize Terraform into v1.4,Y
2023-08-23T20:32:09Z,https://github.com/hashicorp/terraform/pull/33730,jar-b,backend/s3: Update S3 client to AWS SDK Go V2,Y
2023-08-23T19:09:36Z,https://github.com/hashicorp/terraform/pull/33729,marianoasselborn,Enable Iron Bank updates,Y
2023-08-22T21:46:06Z,https://github.com/hashicorp/terraform/pull/33724,gdavison,S3/f update endpoint arguments,Y
2023-08-22T21:01:44Z,https://github.com/hashicorp/terraform/pull/33723,jar-b,backend/s3: support multiple shared config/credentials files,Y
2023-08-22T14:31:57Z,https://github.com/hashicorp/terraform/pull/33722,liamcervante,Allow referencing higher level variables from run blocks,Y
2023-08-22T08:47:46Z,https://github.com/hashicorp/terraform/pull/33721,liamcervante,Update test framework variable parsing to support complex types,Y
2023-08-22T08:10:45Z,https://github.com/hashicorp/terraform/pull/33720,liamcervante,Include run block for JSON fatal interrupt test summaries,Y
2023-08-21T23:59:55Z,https://github.com/hashicorp/terraform/pull/33718,brandonc,Ignore remote version conflict for force-unlock,Y
2023-08-21T20:37:07Z,https://github.com/hashicorp/terraform/pull/33716,jar-b,backend/s3: add `use_legacy_workflow` argument to `modernization` branch,Y
2023-08-21T20:27:19Z,https://github.com/hashicorp/terraform/pull/33715,gdavison,backend/s3: Adds support for standard AWS endpoint environment variables and deprecates backend-specific envvars,Y
2023-08-21T17:25:54Z,https://github.com/hashicorp/terraform/pull/33714,brandonc,Update CHANGELOG.md,Y
2023-08-21T17:21:30Z,https://github.com/hashicorp/terraform/pull/33713,teamterraform,Backport of Bump go-tfe to v1.32.1 into v1.5,Y
2023-08-21T15:42:30Z,https://github.com/hashicorp/terraform/pull/33710,liamcervante,Implement TFC integration for private module registry test runs,Y
2023-08-18T19:30:00Z,https://github.com/hashicorp/terraform/pull/33705,brandonc,Bump go-tfe to v1.32.1,Y
2023-08-17T12:16:01Z,https://github.com/hashicorp/terraform/pull/33704,matheusmgon,change terraform to ?,N
2023-08-17T02:11:02Z,https://github.com/hashicorp/terraform/pull/33702,radditude,ci: fix copyright header check,Y
2023-08-16T23:50:42Z,https://github.com/hashicorp/terraform/pull/33701,rkoron007,Update file name,Y
2023-08-16T18:07:31Z,https://github.com/hashicorp/terraform/pull/33699,radditude,[COMPLIANCE] further license updates,Y
2023-08-16T10:27:34Z,https://github.com/hashicorp/terraform/pull/33697,hashicorp-copywrite[bot],[COMPLIANCE] License update,Y
2023-08-16T10:22:07Z,https://github.com/hashicorp/terraform/pull/33696,hashicorp-copywrite[bot],[COMPLIANCE] License update,Y
2023-08-16T10:14:41Z,https://github.com/hashicorp/terraform/pull/33695,hashicorp-copywrite[bot],[COMPLIANCE] License update,Y
2023-08-15T21:38:22Z,https://github.com/hashicorp/terraform/pull/33691,apparentlymart,Build with Go 1.21.0,Y
2023-08-15T17:53:49Z,https://github.com/hashicorp/terraform/pull/33684,ankon,Feature/allow multiple imports at the same time,N
2023-08-15T11:31:43Z,https://github.com/hashicorp/terraform/pull/33683,liamcervante,Introduce 'run' keyword for referencing outputs from earlier run blocks,Y
2023-08-14T10:19:40Z,https://github.com/hashicorp/terraform/pull/33679,liamcervante,Add support for sensitive values in test assertions,Y
2023-08-14T10:13:49Z,https://github.com/hashicorp/terraform/pull/33678,sarahethompson,Update linux package license to BUSL-1.1,N
2023-08-14T09:57:24Z,https://github.com/hashicorp/terraform/pull/33677,liamcervante,Removing alternate functions for state and plan from `test_context.go`,Y
2023-08-14T09:12:16Z,https://github.com/hashicorp/terraform/pull/33675,liamcervante,Update error message from an unknown Terraform Test condition,Y
2023-08-13T17:36:36Z,https://github.com/hashicorp/terraform/pull/33674,stefkiourk,Update debugging.mdx to capitalize Terraform,N
